"Datum";"Naam / Omschrijving";"Rekening";"Tegenrekening";"Code";"Af Bij";"Bedrag (EUR)";"Mutatiesoort";"Mededelingen";"Saldo na mutatie";"Tag"
"20260720";"Thuisbezorgd.nl via Takeaway";"NL00INGB0001234567";"";"BA";"Af";"51,60";"Betaalautomaat";"";"6780,86";""
"20260720";"bol.com b.v.";"NL00INGB0001234567";"NL12";"BA";"Af";"125,64";"iDEAL";"Bestelling";"6832,46";""
"20260720";"Brasserie De Zon";"NL00INGB0001234567";"";"BA";"Af";"41,95";"Betaalautomaat";"";"6958,10";""
"20260718";"Tango Houten";"NL00INGB0001234567";"";"BA";"Af";"61,60";"Betaalautomaat";"";"7000,05";""
"20260717";"Vriend";"NL00INGB0001234567";"NL13";"GT";"Af";"25,00";"Online bankieren";"Tikkie verjaardag";"7061,65";""
"20260713";"Kruidvat 7766";"NL00INGB0001234567";"";"BA";"Af";"38,43";"Betaalautomaat";"";"7086,65";""
"20260712";"Basic-Fit Nederland";"NL00INGB0001234567";"NL99";"BA";"Af";"29,99";"Incasso";"Lidmaatschap";"7125,08";""
"20260711";"Jumbo Utrecht";"NL00INGB0001234567";"";"BA";"Af";"83,70";"Betaalautomaat";"Pasvolgnr: 001";"7155,07";""
"20260710";"Zilveren Kruis Zorgverzekeringen";"NL00INGB0001234567";"NL88";"BA";"Af";"298,40";"Incasso";"Premie";"7238,77";""
"20260710";"Tango Houten";"NL00INGB0001234567";"";"BA";"Af";"44,69";"Betaalautomaat";"";"7537,17";""
"20260709";"Spotify AB";"NL00INGB0001234567";"NL77";"BA";"Af";"17,99";"Incasso";"Spotify Duo";"7581,86";""
"20260708";"Netflix International B.V.";"NL00INGB0001234567";"NL66";"BA";"Af";"13,99";"Incasso";"Netflix";"7599,85";""
"20260708";"Dominos Pizza";"NL00INGB0001234567";"";"BA";"Af";"32,78";"Betaalautomaat";"";"7613,84";""
"20260706";"Ziggo Services BV";"NL00INGB0001234567";"NL55";"BA";"Af";"68,50";"Incasso";"Internet + TV";"7646,62";""
"20260706";"Lidl Nieuwegein";"NL00INGB0001234567";"";"BA";"Af";"46,56";"Betaalautomaat";"Pasvolgnr: 001";"7715,12";""
"20260706";"Albert Heijn 1234";"NL00INGB0001234567";"";"BA";"Af";"34,15";"Betaalautomaat";"Pasvolgnr: 001";"7761,68";""
"20260706";"Albert Heijn 1234";"NL00INGB0001234567";"";"BA";"Af";"83,41";"Betaalautomaat";"Pasvolgnr: 001";"7795,83";""
"20260705";"Vattenfall Klantenservice N.V.";"NL00INGB0001234567";"NL44";"BA";"Af";"142,00";"Incasso";"Termijnbedrag energie";"7879,24";""
"20260703";"Albert Heijn 1234";"NL00INGB0001234567";"";"BA";"Af";"57,27";"Betaalautomaat";"Pasvolgnr: 001";"8021,24";""
"20260702";"Florius hypotheken";"NL00INGB0001234567";"NL33ABNA000";"BA";"Af";"1245,30";"Incasso";"Hypotheek termijn";"8078,51";""
"20260701";"Partner A";"NL00INGB0001234567";"NL11INGB0009999999";"GT";"Bij";"1850,00";"Online bankieren";"Inleg gezamenlijke rekening";"9323,81";""
"20260701";"Partner B";"NL00INGB0001234567";"NL22RABO0008888888";"BA";"Bij";"1650,00";"Overschrijving";"Inleg";"7473,81";""
"20260701";"Tango Houten";"NL00INGB0001234567";"";"BA";"Af";"31,03";"Betaalautomaat";"";"5823,81";""
"20260628";"Picnic";"NL00INGB0001234567";"";"BA";"Af";"89,68";"Betaalautomaat";"Pasvolgnr: 001";"5854,84";""
"20260628";"Picnic";"NL00INGB0001234567";"";"BA";"Af";"50,55";"Betaalautomaat";"Pasvolgnr: 001";"5944,52";""
"20260626";"Picnic";"NL00INGB0001234567";"";"BA";"Af";"90,14";"Betaalautomaat";"Pasvolgnr: 001";"5995,07";""
"20260626";"Vriend";"NL00INGB0001234567";"NL13";"GT";"Af";"25,00";"Online bankieren";"Tikkie verjaardag";"6085,21";""
"20260623";"Jumbo Utrecht";"NL00INGB0001234567";"";"BA";"Af";"30,68";"Betaalautomaat";"Pasvolgnr: 001";"6110,21";""
"20260623";"Albert Heijn 1234";"NL00INGB0001234567";"";"BA";"Af";"32,71";"Betaalautomaat";"Pasvolgnr: 001";"6140,89";""
"20260622";"bol.com b.v.";"NL00INGB0001234567";"NL12";"BA";"Af";"123,26";"iDEAL";"Bestelling";"6173,60";""
"20260621";"Jumbo Utrecht";"NL00INGB0001234567";"";"BA";"Af";"46,74";"Betaalautomaat";"Pasvolgnr: 001";"6296,86";""
"20260621";"Thuisbezorgd.nl via Takeaway";"NL00INGB0001234567";"";"BA";"Af";"44,33";"Betaalautomaat";"";"6343,60";""
"20260620";"Naar Oranje Spaarrekening V12345678";"NL00INGB0001234567";"NL10INGB";"GT";"Af";"400,00";"Online bankieren";"Maandelijks sparen";"6387,93";""
"20260620";"Uber Eats";"NL00INGB0001234567";"";"BA";"Af";"39,95";"Betaalautomaat";"";"6787,93";""
"20260620";"NS Groep IZ NS Reizigers";"NL00INGB0001234567";"";"BA";"Af";"46,52";"Betaalautomaat";"";"6827,88";""
"20260617";"Picnic";"NL00INGB0001234567";"";"BA";"Af";"22,95";"Betaalautomaat";"Pasvolgnr: 001";"6874,40";""
"20260615";"Dominos Pizza";"NL00INGB0001234567";"";"BA";"Af";"32,09";"Betaalautomaat";"";"6897,35";""
"20260614";"Picnic";"NL00INGB0001234567";"";"BA";"Af";"27,41";"Betaalautomaat";"Pasvolgnr: 001";"6929,44";""
"20260614";"Jumbo Utrecht";"NL00INGB0001234567";"";"BA";"Af";"103,99";"Betaalautomaat";"Pasvolgnr: 001";"6956,85";""
"20260614";"Shell Utrecht";"NL00INGB0001234567";"";"BA";"Af";"56,34";"Betaalautomaat";"";"7060,84";""
"20260612";"Basic-Fit Nederland";"NL00INGB0001234567";"NL99";"BA";"Af";"29,99";"Incasso";"Lidmaatschap";"7117,18";""
"20260612";"Jumbo Utrecht";"NL00INGB0001234567";"";"BA";"Af";"106,80";"Betaalautomaat";"Pasvolgnr: 001";"7147,17";""
"20260612";"NS Groep IZ NS Reizigers";"NL00INGB0001234567";"";"BA";"Af";"40,40";"Betaalautomaat";"";"7253,97";""
"20260612";"Brasserie De Zon";"NL00INGB0001234567";"";"BA";"Af";"53,82";"Betaalautomaat";"";"7294,37";""
"20260610";"Zilveren Kruis Zorgverzekeringen";"NL00INGB0001234567";"NL88";"BA";"Af";"298,40";"Incasso";"Premie";"7348,19";""
"20260609";"Spotify AB";"NL00INGB0001234567";"NL77";"BA";"Af";"17,99";"Incasso";"Spotify Duo";"7646,59";""
"20260608";"Netflix International B.V.";"NL00INGB0001234567";"NL66";"BA";"Af";"13,99";"Incasso";"Netflix";"7664,58";""
"20260608";"Thuisbezorgd.nl via Takeaway";"NL00INGB0001234567";"";"BA";"Af";"54,53";"Betaalautomaat";"";"7678,57";""
"20260606";"Ziggo Services BV";"NL00INGB0001234567";"NL55";"BA";"Af";"68,50";"Incasso";"Internet + TV";"7733,10";""
"20260606";"Kruidvat 7766";"NL00INGB0001234567";"";"BA";"Af";"17,13";"Betaalautomaat";"";"7801,60";""
"20260605";"Vattenfall Klantenservice N.V.";"NL00INGB0001234567";"NL44";"BA";"Af";"142,00";"Incasso";"Termijnbedrag energie";"7818,73";""
"20260605";"Tango Houten";"NL00INGB0001234567";"";"BA";"Af";"66,26";"Betaalautomaat";"";"7960,73";""
"20260604";"Lidl Nieuwegein";"NL00INGB0001234567";"";"BA";"Af";"72,22";"Betaalautomaat";"Pasvolgnr: 001";"8026,99";""
"20260603";"Picnic";"NL00INGB0001234567";"";"BA";"Af";"81,00";"Betaalautomaat";"Pasvolgnr: 001";"8099,21";""
"20260602";"Florius hypotheken";"NL00INGB0001234567";"NL33ABNA000";"BA";"Af";"1245,30";"Incasso";"Hypotheek termijn";"8180,21";""
"20260601";"Partner A";"NL00INGB0001234567";"NL11INGB0009999999";"GT";"Bij";"1850,00";"Online bankieren";"Inleg gezamenlijke rekening";"9425,51";""
"20260601";"Partner B";"NL00INGB0001234567";"NL22RABO0008888888";"BA";"Bij";"1650,00";"Overschrijving";"Inleg";"7575,51";""
"20260527";"Lidl Nieuwegein";"NL00INGB0001234567";"";"BA";"Af";"108,63";"Betaalautomaat";"Pasvolgnr: 001";"5925,51";""
"20260526";"Picnic";"NL00INGB0001234567";"";"BA";"Af";"95,83";"Betaalautomaat";"Pasvolgnr: 001";"6034,14";""
"20260526";"Tango Houten";"NL00INGB0001234567";"";"BA";"Af";"43,32";"Betaalautomaat";"";"6129,97";""
"20260526";"Brasserie De Zon";"NL00INGB0001234567";"";"BA";"Af";"101,97";"Betaalautomaat";"";"6173,29";""
"20260525";"Tango Houten";"NL00INGB0001234567";"";"BA";"Af";"71,33";"Betaalautomaat";"";"6275,26";""
"20260520";"Naar Oranje Spaarrekening V12345678";"NL00INGB0001234567";"NL10INGB";"GT";"Af";"400,00";"Online bankieren";"Maandelijks sparen";"6346,59";""
"20260520";"Lidl Nieuwegein";"NL00INGB0001234567";"";"BA";"Af";"96,28";"Betaalautomaat";"Pasvolgnr: 001";"6746,59";""
"20260517";"Picnic";"NL00INGB0001234567";"";"BA";"Af";"61,16";"Betaalautomaat";"Pasvolgnr: 001";"6842,87";""
"20260517";"Vriend";"NL00INGB0001234567";"NL13";"GT";"Af";"25,00";"Online bankieren";"Tikkie verjaardag";"6904,03";""
"20260516";"Albert Heijn 1234";"NL00INGB0001234567";"";"BA";"Af";"73,88";"Betaalautomaat";"Pasvolgnr: 001";"6929,03";""
"20260513";"bol.com b.v.";"NL00INGB0001234567";"NL12";"BA";"Af";"23,32";"iDEAL";"Bestelling";"7002,91";""
"20260512";"Basic-Fit Nederland";"NL00INGB0001234567";"NL99";"BA";"Af";"29,99";"Incasso";"Lidmaatschap";"7026,23";""
"20260512";"Albert Heijn 1234";"NL00INGB0001234567";"";"BA";"Af";"23,37";"Betaalautomaat";"Pasvolgnr: 001";"7056,22";""
"20260510";"Zilveren Kruis Zorgverzekeringen";"NL00INGB0001234567";"NL88";"BA";"Af";"298,40";"Incasso";"Premie";"7079,59";""
"20260510";"Uber Eats";"NL00INGB0001234567";"";"BA";"Af";"49,31";"Betaalautomaat";"";"7377,99";""
"20260509";"Spotify AB";"NL00INGB0001234567";"NL77";"BA";"Af";"17,99";"Incasso";"Spotify Duo";"7427,30";""
"20260508";"Netflix International B.V.";"NL00INGB0001234567";"NL66";"BA";"Af";"13,99";"Incasso";"Netflix";"7445,29";""
"20260508";"Picnic";"NL00INGB0001234567";"";"BA";"Af";"72,81";"Betaalautomaat";"Pasvolgnr: 001";"7459,28";""
"20260506";"Ziggo Services BV";"NL00INGB0001234567";"NL55";"BA";"Af";"68,50";"Incasso";"Internet + TV";"7532,09";""
"20260506";"Jumbo Utrecht";"NL00INGB0001234567";"";"BA";"Af";"85,51";"Betaalautomaat";"Pasvolgnr: 001";"7600,59";""
"20260505";"Vattenfall Klantenservice N.V.";"NL00INGB0001234567";"NL44";"BA";"Af";"142,00";"Incasso";"Termijnbedrag energie";"7686,10";""
"20260504";"Kruidvat 7766";"NL00INGB0001234567";"";"BA";"Af";"37,30";"Betaalautomaat";"";"7828,10";""
"20260503";"Dominos Pizza";"NL00INGB0001234567";"";"BA";"Af";"36,97";"Betaalautomaat";"";"7865,40";""
"20260502";"Florius hypotheken";"NL00INGB0001234567";"NL33ABNA000";"BA";"Af";"1245,30";"Incasso";"Hypotheek termijn";"7902,37";""
"20260502";"Albert Heijn 1234";"NL00INGB0001234567";"";"BA";"Af";"88,02";"Betaalautomaat";"Pasvolgnr: 001";"9147,67";""
"20260501";"Partner A";"NL00INGB0001234567";"NL11INGB0009999999";"GT";"Bij";"1850,00";"Online bankieren";"Inleg gezamenlijke rekening";"9235,69";""
"20260501";"Partner B";"NL00INGB0001234567";"NL22RABO0008888888";"BA";"Bij";"1650,00";"Overschrijving";"Inleg";"7385,69";""
"20260428";"Jumbo Utrecht";"NL00INGB0001234567";"";"BA";"Af";"75,09";"Betaalautomaat";"Pasvolgnr: 001";"5735,69";""
"20260427";"Lidl Nieuwegein";"NL00INGB0001234567";"";"BA";"Af";"59,10";"Betaalautomaat";"Pasvolgnr: 001";"5810,78";""
"20260426";"Picnic";"NL00INGB0001234567";"";"BA";"Af";"109,57";"Betaalautomaat";"Pasvolgnr: 001";"5869,88";""
"20260423";"NS Groep IZ NS Reizigers";"NL00INGB0001234567";"";"BA";"Af";"47,87";"Betaalautomaat";"";"5979,45";""
"20260421";"Jumbo Utrecht";"NL00INGB0001234567";"";"BA";"Af";"99,15";"Betaalautomaat";"Pasvolgnr: 001";"6027,32";""
"20260421";"Lidl Nieuwegein";"NL00INGB0001234567";"";"BA";"Af";"85,18";"Betaalautomaat";"Pasvolgnr: 001";"6126,47";""
"20260420";"Naar Oranje Spaarrekening V12345678";"NL00INGB0001234567";"NL10INGB";"GT";"Af";"400,00";"Online bankieren";"Maandelijks sparen";"6211,65";""
"20260416";"NS Groep IZ NS Reizigers";"NL00INGB0001234567";"";"BA";"Af";"44,22";"Betaalautomaat";"";"6611,65";""
"20260413";"Picnic";"NL00INGB0001234567";"";"BA";"Af";"24,76";"Betaalautomaat";"Pasvolgnr: 001";"6655,87";""
"20260413";"Dominos Pizza";"NL00INGB0001234567";"";"BA";"Af";"26,21";"Betaalautomaat";"";"6680,63";""
"20260413";"bol.com b.v.";"NL00INGB0001234567";"NL12";"BA";"Af";"40,60";"iDEAL";"Bestelling";"6706,84";""
"20260412";"Basic-Fit Nederland";"NL00INGB0001234567";"NL99";"BA";"Af";"29,99";"Incasso";"Lidmaatschap";"6747,44";""
"20260411";"Jumbo Utrecht";"NL00INGB0001234567";"";"BA";"Af";"46,10";"Betaalautomaat";"Pasvolgnr: 001";"6777,43";""
"20260411";"Lidl Nieuwegein";"NL00INGB0001234567";"";"BA";"Af";"111,89";"Betaalautomaat";"Pasvolgnr: 001";"6823,53";""
"20260410";"Zilveren Kruis Zorgverzekeringen";"NL00INGB0001234567";"NL88";"BA";"Af";"298,40";"Incasso";"Premie";"6935,42";""
"20260409";"Spotify AB";"NL00INGB0001234567";"NL77";"BA";"Af";"17,99";"Incasso";"Spotify Duo";"7233,82";""
"20260409";"Dominos Pizza";"NL00INGB0001234567";"";"BA";"Af";"50,26";"Betaalautomaat";"";"7251,81";""
"20260409";"Vriend";"NL00INGB0001234567";"NL13";"GT";"Af";"25,00";"Online bankieren";"Tikkie verjaardag";"7302,07";""
"20260408";"Netflix International B.V.";"NL00INGB0001234567";"NL66";"BA";"Af";"13,99";"Incasso";"Netflix";"7327,07";""
"20260406";"Ziggo Services BV";"NL00INGB0001234567";"NL55";"BA";"Af";"68,50";"Incasso";"Internet + TV";"7341,06";""
"20260406";"Brasserie De Zon";"NL00INGB0001234567";"";"BA";"Af";"40,92";"Betaalautomaat";"";"7409,56";""
"20260405";"Vattenfall Klantenservice N.V.";"NL00INGB0001234567";"NL44";"BA";"Af";"142,00";"Incasso";"Termijnbedrag energie";"7450,48";""
"20260403";"Picnic";"NL00INGB0001234567";"";"BA";"Af";"105,15";"Betaalautomaat";"Pasvolgnr: 001";"7592,48";""
"20260402";"Florius hypotheken";"NL00INGB0001234567";"NL33ABNA000";"BA";"Af";"1245,30";"Incasso";"Hypotheek termijn";"7697,63";""
"20260401";"Partner A";"NL00INGB0001234567";"NL11INGB0009999999";"GT";"Bij";"1850,00";"Online bankieren";"Inleg gezamenlijke rekening";"8942,93";""
"20260401";"Partner B";"NL00INGB0001234567";"NL22RABO0008888888";"BA";"Bij";"1650,00";"Overschrijving";"Inleg";"7092,93";""
"20260401";"Kruidvat 7766";"NL00INGB0001234567";"";"BA";"Af";"14,76";"Betaalautomaat";"";"5442,93";""
"20260326";"Lidl Nieuwegein";"NL00INGB0001234567";"";"BA";"Af";"99,46";"Betaalautomaat";"Pasvolgnr: 001";"5457,69";""
"20260325";"Lidl Nieuwegein";"NL00INGB0001234567";"";"BA";"Af";"119,68";"Betaalautomaat";"Pasvolgnr: 001";"5557,15";""
"20260321";"Vriend";"NL00INGB0001234567";"NL13";"GT";"Af";"25,00";"Online bankieren";"Tikkie verjaardag";"5676,83";""
"20260320";"Naar Oranje Spaarrekening V12345678";"NL00INGB0001234567";"NL10INGB";"GT";"Af";"400,00";"Online bankieren";"Maandelijks sparen";"5701,83";""
"20260320";"Jumbo Utrecht";"NL00INGB0001234567";"";"BA";"Af";"86,07";"Betaalautomaat";"Pasvolgnr: 001";"6101,83";""
"20260320";"Jumbo Utrecht";"NL00INGB0001234567";"";"BA";"Af";"19,29";"Betaalautomaat";"Pasvolgnr: 001";"6187,90";""
"20260319";"Lidl Nieuwegein";"NL00INGB0001234567";"";"BA";"Af";"25,20";"Betaalautomaat";"Pasvolgnr: 001";"6207,19";""
"20260319";"Picnic";"NL00INGB0001234567";"";"BA";"Af";"41,15";"Betaalautomaat";"Pasvolgnr: 001";"6232,39";""
"20260319";"Brasserie De Zon";"NL00INGB0001234567";"";"BA";"Af";"68,21";"Betaalautomaat";"";"6273,54";""
"20260317";"Shell Utrecht";"NL00INGB0001234567";"";"BA";"Af";"66,34";"Betaalautomaat";"";"6341,75";""
"20260316";"Jumbo Utrecht";"NL00INGB0001234567";"";"BA";"Af";"36,19";"Betaalautomaat";"Pasvolgnr: 001";"6408,09";""
"20260314";"Jumbo Utrecht";"NL00INGB0001234567";"";"BA";"Af";"111,24";"Betaalautomaat";"Pasvolgnr: 001";"6444,28";""
"20260314";"Picnic";"NL00INGB0001234567";"";"BA";"Af";"66,65";"Betaalautomaat";"Pasvolgnr: 001";"6555,52";""
"20260314";"Uber Eats";"NL00INGB0001234567";"";"BA";"Af";"30,20";"Betaalautomaat";"";"6622,17";""
"20260314";"Thuisbezorgd.nl via Takeaway";"NL00INGB0001234567";"";"BA";"Af";"38,45";"Betaalautomaat";"";"6652,37";""
"20260314";"Tango Houten";"NL00INGB0001234567";"";"BA";"Af";"28,50";"Betaalautomaat";"";"6690,82";""
"20260312";"Basic-Fit Nederland";"NL00INGB0001234567";"NL99";"BA";"Af";"29,99";"Incasso";"Lidmaatschap";"6719,32";""
"20260311";"Jumbo Utrecht";"NL00INGB0001234567";"";"BA";"Af";"75,17";"Betaalautomaat";"Pasvolgnr: 001";"6749,31";""
"20260311";"Kruidvat 7766";"NL00INGB0001234567";"";"BA";"Af";"26,09";"Betaalautomaat";"";"6824,48";""
"20260310";"Zilveren Kruis Zorgverzekeringen";"NL00INGB0001234567";"NL88";"BA";"Af";"298,40";"Incasso";"Premie";"6850,57";""
"20260309";"Spotify AB";"NL00INGB0001234567";"NL77";"BA";"Af";"17,99";"Incasso";"Spotify Duo";"7148,97";""
"20260308";"Netflix International B.V.";"NL00INGB0001234567";"NL66";"BA";"Af";"13,99";"Incasso";"Netflix";"7166,96";""
"20260306";"Ziggo Services BV";"NL00INGB0001234567";"NL55";"BA";"Af";"68,50";"Incasso";"Internet + TV";"7180,95";""
"20260305";"Vattenfall Klantenservice N.V.";"NL00INGB0001234567";"NL44";"BA";"Af";"142,00";"Incasso";"Termijnbedrag energie";"7249,45";""
"20260304";"Albert Heijn 1234";"NL00INGB0001234567";"";"BA";"Af";"102,66";"Betaalautomaat";"Pasvolgnr: 001";"7391,45";""
"20260302";"Florius hypotheken";"NL00INGB0001234567";"NL33ABNA000";"BA";"Af";"1245,30";"Incasso";"Hypotheek termijn";"7494,11";""
"20260302";"Lidl Nieuwegein";"NL00INGB0001234567";"";"BA";"Af";"62,75";"Betaalautomaat";"Pasvolgnr: 001";"8739,41";""
"20260302";"Albert Heijn 1234";"NL00INGB0001234567";"";"BA";"Af";"21,53";"Betaalautomaat";"Pasvolgnr: 001";"8802,16";""
"20260302";"Thuisbezorgd.nl via Takeaway";"NL00INGB0001234567";"";"BA";"Af";"30,39";"Betaalautomaat";"";"8823,69";""
"20260302";"bol.com b.v.";"NL00INGB0001234567";"NL12";"BA";"Af";"134,74";"iDEAL";"Bestelling";"8854,08";""
"20260301";"Partner A";"NL00INGB0001234567";"NL11INGB0009999999";"GT";"Bij";"1850,00";"Online bankieren";"Inleg gezamenlijke rekening";"8988,82";""
"20260301";"Partner B";"NL00INGB0001234567";"NL22RABO0008888888";"BA";"Bij";"1650,00";"Overschrijving";"Inleg";"7138,82";""
"20260228";"NS Groep IZ NS Reizigers";"NL00INGB0001234567";"";"BA";"Af";"60,80";"Betaalautomaat";"";"5488,82";""
"20260223";"Picnic";"NL00INGB0001234567";"";"BA";"Af";"51,00";"Betaalautomaat";"Pasvolgnr: 001";"5549,62";""
"20260221";"Jumbo Utrecht";"NL00INGB0001234567";"";"BA";"Af";"81,43";"Betaalautomaat";"Pasvolgnr: 001";"5600,62";""
"20260221";"Lidl Nieuwegein";"NL00INGB0001234567";"";"BA";"Af";"73,65";"Betaalautomaat";"Pasvolgnr: 001";"5682,05";""
"20260220";"Naar Oranje Spaarrekening V12345678";"NL00INGB0001234567";"NL10INGB";"GT";"Af";"400,00";"Online bankieren";"Maandelijks sparen";"5755,70";""
"20260217";"Lidl Nieuwegein";"NL00INGB0001234567";"";"BA";"Af";"71,14";"Betaalautomaat";"Pasvolgnr: 001";"6155,70";""
"20260213";"Vriend";"NL00INGB0001234567";"NL13";"GT";"Af";"25,00";"Online bankieren";"Tikkie verjaardag";"6226,84";""
"20260212";"Basic-Fit Nederland";"NL00INGB0001234567";"NL99";"BA";"Af";"29,99";"Incasso";"Lidmaatschap";"6251,84";""
"20260212";"Dominos Pizza";"NL00INGB0001234567";"";"BA";"Af";"24,73";"Betaalautomaat";"";"6281,83";""
"20260210";"Zilveren Kruis Zorgverzekeringen";"NL00INGB0001234567";"NL88";"BA";"Af";"298,40";"Incasso";"Premie";"6306,56";""
"20260210";"Jumbo Utrecht";"NL00INGB0001234567";"";"BA";"Af";"63,20";"Betaalautomaat";"Pasvolgnr: 001";"6604,96";""
"20260210";"Dominos Pizza";"NL00INGB0001234567";"";"BA";"Af";"44,28";"Betaalautomaat";"";"6668,16";""
